kernel,n_total,B,scheme,Lambda,kappa_max,floor_frac,zeta_projected_frac,zeta_proj_moved_mean,pilot_ok_frac,pilot_gradnorm_max,finite_frac
auc,1000,1,WR,24.9125,3.2336952974107116,0.0,0.0,0.0,1.0,3.1697995807047928e-09,1.0
auc,1000,10,WR,24.9,3.2336952974107116,0.0,0.0,0.0,1.0,3.1697995807047928e-09,1.0
auc,1000,100,WR,24.75,3.2336952974107116,0.0,0.0,0.0,1.0,3.1697995807047928e-09,1.0
auc,10000,1,WR,33.21925,2.2047159091852198,0.0,0.0,0.0,1.0,3.746827529065645e-09,1.0
auc,10000,10,WR,33.2175,2.2047159091852198,0.0,0.0,0.0,1.0,3.746827529065645e-09,1.0
auc,10000,100,WR,33.2,2.2047159091852198,0.0,0.0,0.0,1.0,3.746827529065645e-09,1.0
auc,100000,1,WR,41.5241,1.6931602340434966,0.0,0.0,0.0,1.0,3.6036090211055173e-09,1.0
auc,100000,10,WR,41.524,1.6931602340434966,0.0,0.0,0.0,1.0,3.6036090211055173e-09,1.0
auc,100000,100,WR,41.5225,1.6931602340434966,0.0,0.0,0.0,1.0,3.6036090211055173e-09,1.0
rank,1000,1,WR,9.965,1.3888587044895857,0.0,0.0,0.0,1.0,5.8388939432005045e-09,1.0
rank,1000,10,WR,9.96,1.388773469135771,0.0,0.0,0.0,1.0,5.8388939432005045e-09,1.0
rank,1000,100,WR,9.9,1.3901091889149693,0.0,0.0,0.0,1.0,5.8388939432005045e-09,1.0
rank,10000,1,WR,13.2877,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,10,WR,13.287,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,10000,100,WR,13.28,1.2601068429839501,0.0,0.0,0.0,1.0,6.060891067578673e-09,1.0
rank,100000,1,WR,16.60964,1.2208036868380168,0.0,0.0,0.0,1.0,8.569183536813762e-09,1.0
rank,100000,10,WR,16.6096,1.2208036677811716,0.0,0.0,0.0,1.0,8.569183536813762e-09,1.0
rank,100000,100,WR,16.609,1.2208386631065813,0.0,0.0,0.0,1.0,8.569183536813762e-09,1.0
triplet,1000,1,WR,9.965,11.05879648498531,0.0,0.0,0.0,1.0,6.52263657138969e-09,1.0
triplet,1000,10,WR,9.96,11.05879648498531,0.0,0.0,0.0,1.0,6.52263657138969e-09,1.0
triplet,1000,100,WR,9.9,11.05879648498531,0.0,0.0,0.0,1.0,6.52263657138969e-09,1.0
triplet,10000,1,WR,13.2877,4.037176547996126,0.0,0.0,0.0,1.0,8.222363078056548e-09,1.0
triplet,10000,10,WR,13.287,4.037176547996126,0.0,0.0,0.0,1.0,8.222363078056548e-09,1.0
triplet,10000,100,WR,13.28,4.037176547996126,0.0,0.0,0.0,1.0,8.222363078056548e-09,1.0
triplet,100000,1,WR,16.60964,2.2568031948452982,0.0,0.0,0.0,1.0,1.8551517299885998e-08,1.0
triplet,100000,10,WR,16.6096,2.2568031948452982,0.0,0.0,0.0,1.0,1.8551517299885998e-08,1.0
triplet,100000,100,WR,16.609,2.2568031948452982,0.0,0.0,0.0,1.0,1.8551517299885998e-08,1.0
